Title,Company,Location,Salary,Type,Description,Link
Sales Assistant - M&S,WHSmith,Location not found,11.50 an hour,- Part-time,"<p></p>
<div>
 <div>
  <div>
   <div>
    <b>Sales Assistant - M&amp;S - Ludgate Circus - London</b><br> <br> Contract Type: Permanent<br> Working hours: Monday to Friday 6am to 1pm<br> <br> Our teams work hard to make customer and colleague journeys in life possible, we offer our amazing products to everyone on any of life’s journeys. We are particularly proud of the great partnerships we have with M&amp;S. <br> As a Sales Assistant you’ll provide exceptional customer service and work independently or as part of a team to deliver our fantastic store standards. We want you, our customers and our colleagues to be proud to share their journey with us. <br> <br> <b>What being a Sales Assistant is all about:</b>
    <ul>
     <li>Delivering exceptional customer service experience on the shop floor and at service points putting the customer before task every time.</li>
     <li>Delivering ‘best in town’ standards through presentation, availability and keeping the store clean and tidy.</li>
     <li>Having great product knowledge to sell and recommend our products and services to customers.</li>
     <li>Proactively engaging with customers to understand their needs and make recommendations.</li>
     <li>Working as part of a winning Team: pulling together, you can adapt to what can be a changing fast-paced environment.</li>
    </ul><br> <b> What our Stores would love to see:</b><br> Full training is provided for this role, but it would be great if you had the below skills:
    <ul>
     <li>Strong communication and listening skills.</li>
     <li>Great organisation skills plus strong attention to detail.</li>
     <li>A passion for providing great customer service.</li>
     <li>Ability to work as part of a team, supporting your colleagues and helping to deliver the daily activities.</li>
    </ul><br> <b> How we reward our teams:</b><br> We know you’ll work hard to make WHSmith a success and keep our customers happy, so as well as your salary, pension scheme, paid annual leave and employee discounts, we’ll reward you with a range of deals from retail partners that will help you save money and make memories, whether a delicious meal, an adventurous day out, or tickets to see the latest blockbuster.<br> <br> Whatever the future brings, our Employee Assistance Programme will support you with help and guidance for your wellbeing whether physical, mental or financial.<br> <br> WHSmith are proud to be an inclusive employer, we want our colleagues to feel welcome, and free to be themselves with us.
   </div><br>
  </div>
  <div>
   <p><b>Format of Business</b></p>
   <div>
    Concession
   </div>
  </div>
  <div>
   <p><b>Shift Pattern</b></p>
   <div>
    Flexible - Including nights
   </div>
  </div>
  <div>
   <p><b>Position Type</b></p>
   <div>
    Permanent
   </div>
  </div>
  <div>
   <p><b>Hours / Week</b></p>
   <div>
    32.5
   </div>
  </div>
  <div>
   <p><b>Full Time / Part Time</b></p>
   <div>
    Part Time
   </div>
  </div>
  <div>
   <p><b>Salary Up To</b></p>
   <div>
    £11.50
   </div>
  </div>
  <div>
   <p><b>County</b></p>
   <div>
    Central London
   </div>
  </div>
  <div>
   <p><b>Country</b></p>
   <div>
    UK
   </div>
  </div>
  <div>
   <p><b>Post Code</b></p>
   <div>
    EC4A 2AB
   </div>
  </div>
 </div>
</div>
<div></div>",https://uk.indeed.com/rc/clk?jk=51b680e14f79a8c0&bb=0Ok5GTSreip66aq1a1R7pNkRA8v-JP6-FEpX1mFVevW2EPOGYaqiwjnMs5u4JC0cC-QbcJ-ICcySv8MKHTJUrYgdv2cHFK4nvfO3dE_VzmgrIxwOls7oP0jjdc2vH6xb&xkcb=SoDD67M377O5s4zZjJ0LbzkdCdPP&fccid=e6d10f9c77816214&vjs=3
Store Assistant,Aldi,Location not found,13.65 - £13.95 an hour,- Permanent,"At Aldi, you'll never find yourself bored and twiddling your thumbs on the till as a Store Assistant. In fact, time will fly by. <br><br> You'll do everything from checking off deliveries to dealing with enquiries or ensuring that the shelves are fully stocked with well-presented products. And, of course, you'll provide excellent customer service at all times by attending to customer needs in a prompt and friendly way. It's a really fast-paced environment, and everyone understands exactly what needs to happen to make their store a success – and gets on with doing it. There's a real family feel here, and we all pitch in as part of a close-knit team.",https://uk.indeed.com/rc/clk?jk=2306647d25dc2870&bb=0Ok5GTSreip66aq1a1R7pKokWM7JW13XGUpXs09WXlXsKmrs7a3O-vVM-GSIsU3QZAQCEUGdCBAnNRK9CXaEmO49GPRqhBvkLUFPwepR_CLCNZbDozZylF-bWsDK6HSI&xkcb=SoB367M377O5s4zZjJ0KbzkdCdPP&fccid=419801c05606d650&vjs=3
