Title,Company,Location,Salary,Type,Description,Link
Library Assistant (Shelving Team),University of London,Location not found,"£26,394 a year",- Part-time,"<div>
 <p><b>Job reference:</b> 002786</p>
 <p><b>Salary:</b> £26,394 FTE (pro rata - as this is a 15 hour / week post)</p>
 <p><b>Closing date:</b> 27/10/2024</p>
 <p><b>Department:</b> Senate House Library</p>
 <p><b>Location:</b> London Senate House</p>
 <p><b>Employment type:</b> Open ended -part-time</p>
 <p><b>Sub-Department:</b> Space Management</p>
 <p><b>Hours Per Week:</b> 15</p>
</div> <br>
<div>
 <div>
  <div>
   <p><b>The University of London</b></p>
   <p>The University of London is a leading UK provider of distance and digital education internationally, offering programmes to 45,000 students in 190 countries around the world. Although proudly rooted in London, our community and impact are global.</p>
   <p>We are a national leader in the humanities, and we promote their value to society and the economy through knowledge creation and exchange.</p>
   <p>We are also a federation of 17 world class higher education institutions, with collaboration at the heart of our ethos. The University of London federation is a collective community of more than 240,000 learners and 50,000 staff, delivering world-leading research across all disciplines.</p>
   <p>Our passion for increasing access to education and mobilising the collective power and expertise of the federation is central to our ability to transform lives around the world and address the global challenges of the future.</p>
   <p></p>
   <p><b><br> The Role</b></p>
   <p><b> SENATE HOUSE LIBRARY</b></p>
   <p>Senate House Library is the central library for the University of London, and the home library for the School of Advanced Study. We offer access and research support to collections covering Arts, Humanities and Social Science and are home to a number of unique and distinctive Special Collections in the heart of London’s student and research community.</p>
   <p>Senate House Library is seeking to recruit a part-time <b>Library Assistant</b> to work in the Library’s Shelving Team, part of the Library Space and Collections Management Team.</p>
   <p>Working in Senate House Library, the post holder will shelve and tidy across the Library as required, assisting in moving loaded trolleys to the appropriate areas. The role also involves assisting in general print collection management activities, handling basic enquiries around the Library as well as scope to support the Customer Services team in the delivery of customer-facing services to Senate House Library users.</p>
   <p>The role is for 15 hours per week and must be broken down into 3 continuous hours of work per day, Monday to Friday between 9am and 6pm. Due to the nature of the work there is no scope for remote working in the role.</p>
   <p>The successful applicant will need to work well as part of a small team and will require a methodical approach to work with excellent attention to detail as well as having an approachable, friendly, and helpful manner in assisting Library users.</p>
   <p><i> For a full role profile, please refer to the job description below.</i></p>
   <p></p>
   <p><b><br> Further information</b></p>
   <p>To be considered for this opportunity, please submit your Application and CV (by clicking ‘apply for job’ at the bottom of this page) before the closing date at <b>midnight on Sunday 27</b><b>th</b><b> October 2024</b>.</p>
   <p>The University will be unable to sponsor candidates for a visa for this role. Successful applicants must be able to demonstrate their right to work in the UK for the duration of their employment.</p>
   <p>The University of London is committed to promoting a diverse and inclusive working environment where we can all be ourselves and succeed. We particularly encourage applications from members of Black, Asian, and Minority Ethnic communities as this group is currently under-represented at all levels within the University. All appointments will be made on merit, based on the criteria identified in the job description.</p>
   <p><i> Pursuing excellence in education and equal opportunities.</i></p>
   <p>www.london.ac.uk</p>
  </div>
 </div>
</div>
<p></p>",https://uk.indeed.com/rc/clk?jk=acca9b2f15bebc08&bb=QzHv93ilUW_jhpURIe-M8XhoVMHf3wrulN2UJGU7Gizv_n6-Qt9HwSQTMdvv-xMU5f4YNUtSXB7KASVp9ocCOfo-auBsVkyrhNKE9DfXw02LaJT70uK1iNA1xmAMvJgY&xkcb=SoBI67M36Mkltq2WSR0MbzkdCdPP&fccid=a5a718fba2609b50&vjs=3
Receptionist,Formula 1,Location not found,N/A,N/A,"<div>
 <div>
  We are looking for a Receptionist to join our team in London to provide professional Receptionist and associated services.
 </div>
 <div></div>
 <div>
  Main Duties &amp; Responsibilities
 </div>
 <div></div>
 <ul>
  <li>Provide a professional Reception service ensuring courteous and warm welcoming of visitors and staff.</li>
  <li>Offering and providing refreshments to invited guests and providing storage of personal items.</li>
  <li>Manage and oversee visitor, employee and contractor access passes to our St James Market in line with internal policies.</li>
  <li>Ensure incoming calls are answered professionally and promptly.</li>
  <li>Ensure incoming emails are answered appropriately and promptly, and any issues escalated to Front of House Supervisor (FS).</li>
  <li>Contribute to the updating and maintenance of the Reception Manual.</li>
  <li>Support and assist (FS) with ad-hoc requests made by Senior Stakeholders, ensuring seamless service delivery, including but not limited to:- Administration, catering, and concierge service for VIP guests.</li>
  <li>Make meeting and room bookings and manage calendar, liaising with staff about changes and guests – Liaise with FS and reception team to ensure these are managed in an efficient and professional manner.</li>
  <li>Support FS with Catering and VIP meeting room and event Set-Up.</li>
  <li>Support FS and team with event delivery.</li>
  <li>Support with incoming and out-going post including making DHL and Royal Mail bookings, including diligence on the security of incoming post</li>
  <li>Support FS with timely creation of Purchase Order Requests and subsequent acceptance of Purchase Orders on company ‘Purchase to Pay’ (P2P) system, for SJM goods and services.</li>
  <li>Make courier bookings as requested and ensure records are kept up to date including completion of relevant invoices.</li>
  <li>Report building or cleaning issues to facilities team.</li>
  <li>Support and assist FS with the management of catering and stationery together with associated stock control, as well as other ad-hoc purchases.</li>
  <li>Liaise with on-site cleaners and other service providers as required.</li>
  <li>Support and assist FS with departmental administration including but not limited to, credit card and petty cash reconciliation.</li>
  <li>Report all incidents, accidents and significant near misses.</li>
  <li>Develop and maintain great working relationships with key stakeholders.</li>
  <li>Act as a Fire Warden. .</li>
 </ul>
 <div></div>
 <div>
  About You
 </div>
 <ul>
  <li>Previous experience as a receptionist in a fast paced, demanding corporate environment</li>
  <li>Excellent administration skills</li>
  <li>proficient in MS Office</li>
  <li>Personable with excellent communication skills</li>
  <li>Ability to multi-task</li>
  <li>Strong attention to detail</li>
  <li>Ability to meet deadlines</li>
 </ul>
 <div></div>
 <ul>
  <li>Flexibility in approach to work</li>
 </ul>
 <div></div>
 <div>
  Division:
 </div> Corporate
</div>",https://uk.indeed.com/rc/clk?jk=c611ed59c757e6db&bb=QzHv93ilUW_jhpURIe-M8Uh8UDPoH2KZuikiiNemop3gdLgE582b0klQvlCgTRIDXmQIKyAZIfkPRPAgdDIc4Kfr1pWVVo7-_f_Vi-_bS1e8qdAwe0P9s7WMzLbVVRVXFOlhfx6QQ-M%3D&xkcb=SoCh67M36Mkltq2WSR0DbzkdCdPP&fccid=2aa78e445f07196c&vjs=3
