Title,Company,Location,Salary,Type,Description,Link
Receptionist,Formula 1,Location not found,N/A,N/A,"<div>
 <div>
  We are looking for a Receptionist to join our team in London to provide professional Receptionist and associated services.
 </div>
 <div></div>
 <div>
  Main Duties &amp; Responsibilities
 </div>
 <div></div>
 <ul>
  <li>Provide a professional Reception service ensuring courteous and warm welcoming of visitors and staff.</li>
  <li>Offering and providing refreshments to invited guests and providing storage of personal items.</li>
  <li>Manage and oversee visitor, employee and contractor access passes to our St James Market in line with internal policies.</li>
  <li>Ensure incoming calls are answered professionally and promptly.</li>
  <li>Ensure incoming emails are answered appropriately and promptly, and any issues escalated to Front of House Supervisor (FS).</li>
  <li>Contribute to the updating and maintenance of the Reception Manual.</li>
  <li>Support and assist (FS) with ad-hoc requests made by Senior Stakeholders, ensuring seamless service delivery, including but not limited to:- Administration, catering, and concierge service for VIP guests.</li>
  <li>Make meeting and room bookings and manage calendar, liaising with staff about changes and guests – Liaise with FS and reception team to ensure these are managed in an efficient and professional manner.</li>
  <li>Support FS with Catering and VIP meeting room and event Set-Up.</li>
  <li>Support FS and team with event delivery.</li>
  <li>Support with incoming and out-going post including making DHL and Royal Mail bookings, including diligence on the security of incoming post</li>
  <li>Support FS with timely creation of Purchase Order Requests and subsequent acceptance of Purchase Orders on company ‘Purchase to Pay’ (P2P) system, for SJM goods and services.</li>
  <li>Make courier bookings as requested and ensure records are kept up to date including completion of relevant invoices.</li>
  <li>Report building or cleaning issues to facilities team.</li>
  <li>Support and assist FS with the management of catering and stationery together with associated stock control, as well as other ad-hoc purchases.</li>
  <li>Liaise with on-site cleaners and other service providers as required.</li>
  <li>Support and assist FS with departmental administration including but not limited to, credit card and petty cash reconciliation.</li>
  <li>Report all incidents, accidents and significant near misses.</li>
  <li>Develop and maintain great working relationships with key stakeholders.</li>
  <li>Act as a Fire Warden. .</li>
 </ul>
 <div></div>
 <div>
  About You
 </div>
 <ul>
  <li>Previous experience as a receptionist in a fast paced, demanding corporate environment</li>
  <li>Excellent administration skills</li>
  <li>proficient in MS Office</li>
  <li>Personable with excellent communication skills</li>
  <li>Ability to multi-task</li>
  <li>Strong attention to detail</li>
  <li>Ability to meet deadlines</li>
 </ul>
 <div></div>
 <ul>
  <li>Flexibility in approach to work</li>
 </ul>
 <div></div>
 <div>
  Division:
 </div> Corporate
</div>",https://uk.indeed.com/rc/clk?jk=c611ed59c757e6db&bb=RGc-R0IWurH51xeV6HWlHz-2JXa2_48y2uyv0vG_MRASzC8cHRDxXBy_Bcyp5Gffpy_24kiNS20kCtcDvgbL5gwLFD_CRu8a7EPJ8-U2bXuzs4qIksNOYOzU-xMxhAYQFNeKJJY3xHo%3D&xkcb=SoC767M36MkIpXxuop0LbzkdCdPP&fccid=2aa78e445f07196c&vjs=3
Store Assistant,Aldi,Location not found,£13.65 - £13.95 an hour,- Permanent,"At Aldi, you'll never find yourself bored and twiddling your thumbs on the till as a Store Assistant. In fact, time will fly by. <br><br> You'll do everything from checking off deliveries to dealing with enquiries or ensuring that the shelves are fully stocked with well-presented products. And, of course, you'll provide excellent customer service at all times by attending to customer needs in a prompt and friendly way. It's a really fast-paced environment, and everyone understands exactly what needs to happen to make their store a success – and gets on with doing it. There's a real family feel here, and we all pitch in as part of a close-knit team.",https://uk.indeed.com/rc/clk?jk=ac38107ef95f44e2&bb=RGc-R0IWurH51xeV6HWlH1ks0_-d76DWs7g_Cz7WgPPrtrUNunP1jLz4-ZG1TXtY7eChcYDbgqJ4opFTXuL73JD1xZO3VhMG-B27bZK0eegMupv_RzVBjdJdULvLkCZ1&xkcb=SoAP67M36MkIpXxuop0KbzkdCdPP&fccid=419801c05606d650&vjs=3
