Title,Company,Location,Salary,Type,Description,Link
Crew Member,Five Guys,"186-190 Bishopsgate, London EC2M 4NR",£10.70 - £12.80 an hour,- Permanent,"<div>
 <p>Burgers &amp; Fries and Incredible Careers! We’re the burger restaurant with the uncomplicated formula: burgers and fries cooked to perfection, with no frozen ingredients. And we’ve stuck to the same ‘perfect and serve’ philosophy since our family business began in 1986.<br> <br> These days, we’re still just as much a family as we always have been. We have tons of integrity, we’re enthusiastic. we’re competitive and we just get it done – whatever the challenge.</p><br>
 <p><b> YOUR PAY</b></p>
 <ul>
  <li>Under 18 £10.70 - £11.70 per hour depending on where you are located</li>
  <li>18 and over £11.65 - £12.80 per hour depending on where you are located</li>
 </ul>
 <p><b>REWARDS</b></p>
 <ul>
  <li>Earn As You Learn – increase your hourly rate by up to 40p</li>
  <li>Secret Shopper – a bonus which can add up to £1 per hour</li>
  <li>Long service Love2Shop voucher reward - 5 years £500, 10 years £1,000</li>
  <li>Paid breaks</li>
  <li>Free meal on shift</li>
  <li>28 days paid holiday (pro-rata if you're part-time)</li>
 </ul>
 <p><b>OTHER AWESOME PERKS</b></p>
 <ul>
  <li>Days out and social events</li>
  <li>Team competitions – “Fry Cup” and “Olympics”</li>
  <li>Crew member of the month and quarter</li>
  <li>Enhanced Maternity &amp; Paternity Leave</li>
  <li>Five Guys Perks – employee discount program</li>
  <li>Awesome Five Guys Merch</li>
  <li>Pension scheme</li>
  <li>Development opportunities to grow a career with us!</li>
 </ul>
 <p><b>YOU'LL BE ENTHUSIASTIC ABOUT</b></p>
 <ul>
  <li>People</li>
  <li>Quality Food</li>
  <li>Customer Service</li>
  <li>Our values; Competitive, Enthusiastic, Family, Get It Done and Integrity</li>
 </ul>
 <p><b>WHAT YOU'LL BE DOING</b></p>
 <ul>
  <li>Ensuring we are delivering excellent customer service and serving perfect burgers and fries – after all, it is what were famous for!</li>
  <li>We encourage our crew to work on all stations from Till to the Grill, so be ready to work hard.</li>
  <li>You’ll need communicate and work together as a team to get the job done.</li>
  <li>To get the restaurant set up for success, we prep first thing in the morning and by night we are cleaning the restaurant back to new! Meaning we can offer contracted hours to suit you – No 0-hour contracts here!</li>
 </ul>
 <p><b>INCREDIBLE CAREERS WITH FIVE GUYS</b></p>
 <ul>
  <li>If you are ambitious and want to grow - we can provide you with support and the right tools to build a career with us.</li>
  <li>Over 70% of our managers have been internally promoted with many joining as a Crew Member.</li>
  <li>Five Guys isn’t just a job – it can be a career!</li>
 </ul>
</div>
<p></p>",https://uk.indeed.com/rc/clk?jk=b063e69cd81cfe95&bb=RMjIdTaSDUi7iIrT8YBOx-Yzm-YszOuNjjSWPEeZyU8e8kyqmwPAD3xfUHcnAZTJ9p_dQ1O1_ir-i5oQKhRzMabOedGDFQ7T-Fhm2MkwHzU5NIs1y-PGk2fkN_RuevC4&xkcb=SoCw67M36Pjv7D3iWJ0SbzkdCdPP&fccid=1c530956068bb3db&vjs=3
Customer Assistant,Lidl,"27 Well Street, Hackney E9 7QX",£13.65 - £14.00 an hour,- Part-time,"Full Time <br>
<div>
 <div>
  <div>
   <div>
    <p>Summary</p>
   </div>
   <div>
    <p>£13.65 - £14.00 per hour | 30 hour contract | 06:00am – 14:00pm, 13:00pm – 23:00pm shifts | 30-35 days’ holiday (pro rata) | 10% in-store discount | Pension scheme</p>
    <p>Everyone who works at Lidl brings something unique to the table - but we also have a whole lot in common. We’re collaborative, determined and we all pitch in to help each other out.</p>
    <p>Just like you.</p>
    <p>As a Lidl Customer Assistant, no two shifts are the same. From restocking shelves to jumping on tills, you’ll keep moving, keep business booming and never be bored. You’ll take pride in going the extra mile to keep the store clean, tidy and organised, working closely with your colleagues and making sure that every customer receives the service they deserve.</p>
    <p>In return, we’ll give you a competitive hourly pay rate based on equal opportunity and pay structures, with an additional £2.00 per hour for bank holidays and £3.50 per hour for nights, as well as a generous benefits package designed to support your well-being and life outside of Lidl.</p>
    <p>We’re proud to be supportive teams with big ambitions too, so there’ll be plenty of ways for you to progress. With the right training, we’ll help you thrive in your role and champion you to succeed in your career here - you could even become a Freshness, Non-Food or Bakery Specialist.</p>
   </div>
  </div>
  <div>
   <div>
    <p>What you'll do</p>
   </div>
   <div>
    <ul>
     <li>Be a Lidl expert, helping our customers with their questions, queries and requests</li>
     <li>Efficiently work deliveries as they arrive in store</li>
     <li>Passionately provide excellent customer service</li>
     <li>Proactively keep the bakery topped up by baking fresh goods</li>
     <li>Expertly merchandise and maintain our middle aisles of Non-Food products</li>
    </ul>
   </div>
  </div>
  <div>
   <div>
    <p>What you'll need</p>
   </div>
   <div>
    <ul>
     <li>Experience working in a fast-paced environment</li>
     <li>Excellent customer service skills</li>
     <li>Flexibility to start a shift early or finish late</li>
     <li>A positive approach to changing priorities</li>
     <li>Drive and passion to work hard and make your store a success</li>
     <li>A smile on your face and a friendly manner to inspire your team and help our customers</li>
    </ul>
   </div>
  </div>
  <div>
   <div>
    <p>What you'll receive</p>
   </div>
   <div>
    <ul>
     <li>30-35 days holiday (pro rata)</li>
     <li>10% in-store discount</li>
     <li>Pension scheme</li>
     <li>Enhanced family leave</li>
     <li>Long service award</li>
     <li>Plus, more of the perks you deserve</li>
    </ul>
    <p>You’re Lidl like us. We value diversity, equity, and inclusion, welcoming applicants from all backgrounds. Join us to celebrate individuality and grow in a fair, respectful, and inclusive environment.<br> If you’re ready to get stuck in, want to get more out of your career and make a real difference, find your place at Lidl and apply now.</p>
    <p><br> Please note your employment is conditional upon the Company's receipt of satisfactory references and if requested by the Company, a satisfactory Disclosure and Barring Service check.</p>
   </div>
  </div>
 </div>
</div>",https://uk.indeed.com/rc/clk?jk=77a8f16cd1ab2ca7&bb=RMjIdTaSDUi7iIrT8YBOxykToDruNYggFCxX4YF7Kl69RXAdH3hp1DLh8k8MQOufZ6cPsgLVCWSv_uVhL4RN0k3c_Vts8cL9Nk0HCV5RUMzUx3knCdcLUkBeLoKvj4AP&xkcb=SoAt67M36Pjv7D3iWJ0RbzkdCdPP&fccid=14b7c83f2c02772e&vjs=3
