Title,Company,Location,Salary,Type,Description,Link
Receptionist,Formula 1,Location not found,N/A,N/A,"<div>
 <div>
  We are looking for a Receptionist to join our team in London to provide professional Receptionist and associated services.
 </div>
 <div></div>
 <div>
  Main Duties &amp; Responsibilities
 </div>
 <div></div>
 <ul>
  <li>Provide a professional Reception service ensuring courteous and warm welcoming of visitors and staff.</li>
  <li>Offering and providing refreshments to invited guests and providing storage of personal items.</li>
  <li>Manage and oversee visitor, employee and contractor access passes to our St James Market in line with internal policies.</li>
  <li>Ensure incoming calls are answered professionally and promptly.</li>
  <li>Ensure incoming emails are answered appropriately and promptly, and any issues escalated to Front of House Supervisor (FS).</li>
  <li>Contribute to the updating and maintenance of the Reception Manual.</li>
  <li>Support and assist (FS) with ad-hoc requests made by Senior Stakeholders, ensuring seamless service delivery, including but not limited to:- Administration, catering, and concierge service for VIP guests.</li>
  <li>Make meeting and room bookings and manage calendar, liaising with staff about changes and guests – Liaise with FS and reception team to ensure these are managed in an efficient and professional manner.</li>
  <li>Support FS with Catering and VIP meeting room and event Set-Up.</li>
  <li>Support FS and team with event delivery.</li>
  <li>Support with incoming and out-going post including making DHL and Royal Mail bookings, including diligence on the security of incoming post</li>
  <li>Support FS with timely creation of Purchase Order Requests and subsequent acceptance of Purchase Orders on company ‘Purchase to Pay’ (P2P) system, for SJM goods and services.</li>
  <li>Make courier bookings as requested and ensure records are kept up to date including completion of relevant invoices.</li>
  <li>Report building or cleaning issues to facilities team.</li>
  <li>Support and assist FS with the management of catering and stationery together with associated stock control, as well as other ad-hoc purchases.</li>
  <li>Liaise with on-site cleaners and other service providers as required.</li>
  <li>Support and assist FS with departmental administration including but not limited to, credit card and petty cash reconciliation.</li>
  <li>Report all incidents, accidents and significant near misses.</li>
  <li>Develop and maintain great working relationships with key stakeholders.</li>
  <li>Act as a Fire Warden. .</li>
 </ul>
 <div></div>
 <div>
  About You
 </div>
 <ul>
  <li>Previous experience as a receptionist in a fast paced, demanding corporate environment</li>
  <li>Excellent administration skills</li>
  <li>proficient in MS Office</li>
  <li>Personable with excellent communication skills</li>
  <li>Ability to multi-task</li>
  <li>Strong attention to detail</li>
  <li>Ability to meet deadlines</li>
 </ul>
 <div></div>
 <ul>
  <li>Flexibility in approach to work</li>
 </ul>
 <div></div>
 <div>
  Division:
 </div> Corporate
</div>",https://uk.indeed.com/rc/clk?jk=c611ed59c757e6db&bb=EvSFoWeVdR8XSDX8UVrkXorjFfRxN64QMgdrWTb74l-hyH-Nor7bbiVRYcPKAiomvMSOWuSH7htjtN3bGxnPE7ZAkgdsCJFKEIirmAi1phM13slYM4DHv-ttSKoNytqyTqoCm2a-45I%3D&xkcb=SoDM67M36PjiYnRuop0LbzkdCdPP&fccid=2aa78e445f07196c&vjs=3
Customer Assistant,Lidl,"27 Well Street, Hackney E9 7QX",£13.65 - £14.00 an hour,- Part-time,"Full Time <br>
<div>
 <div>
  <div>
   <div>
    <p>Summary</p>
   </div>
   <div>
    <p>£13.65 - £14.00 per hour | 30 hour contract | 06:00am – 14:00pm, 13:00pm – 23:00pm shifts | 30-35 days’ holiday (pro rata) | 10% in-store discount | Pension scheme</p>
    <p>Everyone who works at Lidl brings something unique to the table - but we also have a whole lot in common. We’re collaborative, determined and we all pitch in to help each other out.</p>
    <p>Just like you.</p>
    <p>As a Lidl Customer Assistant, no two shifts are the same. From restocking shelves to jumping on tills, you’ll keep moving, keep business booming and never be bored. You’ll take pride in going the extra mile to keep the store clean, tidy and organised, working closely with your colleagues and making sure that every customer receives the service they deserve.</p>
    <p>In return, we’ll give you a competitive hourly pay rate based on equal opportunity and pay structures, with an additional £2.00 per hour for bank holidays and £3.50 per hour for nights, as well as a generous benefits package designed to support your well-being and life outside of Lidl.</p>
    <p>We’re proud to be supportive teams with big ambitions too, so there’ll be plenty of ways for you to progress. With the right training, we’ll help you thrive in your role and champion you to succeed in your career here - you could even become a Freshness, Non-Food or Bakery Specialist.</p>
   </div>
  </div>
  <div>
   <div>
    <p>What you'll do</p>
   </div>
   <div>
    <ul>
     <li>Be a Lidl expert, helping our customers with their questions, queries and requests</li>
     <li>Efficiently work deliveries as they arrive in store</li>
     <li>Passionately provide excellent customer service</li>
     <li>Proactively keep the bakery topped up by baking fresh goods</li>
     <li>Expertly merchandise and maintain our middle aisles of Non-Food products</li>
    </ul>
   </div>
  </div>
  <div>
   <div>
    <p>What you'll need</p>
   </div>
   <div>
    <ul>
     <li>Experience working in a fast-paced environment</li>
     <li>Excellent customer service skills</li>
     <li>Flexibility to start a shift early or finish late</li>
     <li>A positive approach to changing priorities</li>
     <li>Drive and passion to work hard and make your store a success</li>
     <li>A smile on your face and a friendly manner to inspire your team and help our customers</li>
    </ul>
   </div>
  </div>
  <div>
   <div>
    <p>What you'll receive</p>
   </div>
   <div>
    <ul>
     <li>30-35 days holiday (pro rata)</li>
     <li>10% in-store discount</li>
     <li>Pension scheme</li>
     <li>Enhanced family leave</li>
     <li>Long service award</li>
     <li>Plus, more of the perks you deserve</li>
    </ul>
    <p>You’re Lidl like us. We value diversity, equity, and inclusion, welcoming applicants from all backgrounds. Join us to celebrate individuality and grow in a fair, respectful, and inclusive environment.<br> If you’re ready to get stuck in, want to get more out of your career and make a real difference, find your place at Lidl and apply now.</p>
    <p><br> Please note your employment is conditional upon the Company's receipt of satisfactory references and if requested by the Company, a satisfactory Disclosure and Barring Service check.</p>
   </div>
  </div>
 </div>
</div>",https://uk.indeed.com/rc/clk?jk=77a8f16cd1ab2ca7&bb=EvSFoWeVdR8XSDX8UVrkXo0pO7lFyeK4WO6Gp8Wl2bBXHidS7L7tFcQcnQ0ELyGQj1JTizycKbCykd4ffBot-InThrq2CGoEmE67SQ7itpNIfm7pTStrfywTrHb7X2uY&xkcb=SoB467M36PjiYnRuop0KbzkdCdPP&fccid=14b7c83f2c02772e&vjs=3
