Title,Company,Location,Salary,Type,Description,Link
Receptionist,Formula 1,Location not found,N/A,N/A,"<div>
 <div>
  We are looking for a Receptionist to join our team in London to provide professional Receptionist and associated services.
 </div>
 <div></div>
 <div>
  Main Duties &amp; Responsibilities
 </div>
 <div></div>
 <ul>
  <li>Provide a professional Reception service ensuring courteous and warm welcoming of visitors and staff.</li>
  <li>Offering and providing refreshments to invited guests and providing storage of personal items.</li>
  <li>Manage and oversee visitor, employee and contractor access passes to our St James Market in line with internal policies.</li>
  <li>Ensure incoming calls are answered professionally and promptly.</li>
  <li>Ensure incoming emails are answered appropriately and promptly, and any issues escalated to Front of House Supervisor (FS).</li>
  <li>Contribute to the updating and maintenance of the Reception Manual.</li>
  <li>Support and assist (FS) with ad-hoc requests made by Senior Stakeholders, ensuring seamless service delivery, including but not limited to:- Administration, catering, and concierge service for VIP guests.</li>
  <li>Make meeting and room bookings and manage calendar, liaising with staff about changes and guests – Liaise with FS and reception team to ensure these are managed in an efficient and professional manner.</li>
  <li>Support FS with Catering and VIP meeting room and event Set-Up.</li>
  <li>Support FS and team with event delivery.</li>
  <li>Support with incoming and out-going post including making DHL and Royal Mail bookings, including diligence on the security of incoming post</li>
  <li>Support FS with timely creation of Purchase Order Requests and subsequent acceptance of Purchase Orders on company ‘Purchase to Pay’ (P2P) system, for SJM goods and services.</li>
  <li>Make courier bookings as requested and ensure records are kept up to date including completion of relevant invoices.</li>
  <li>Report building or cleaning issues to facilities team.</li>
  <li>Support and assist FS with the management of catering and stationery together with associated stock control, as well as other ad-hoc purchases.</li>
  <li>Liaise with on-site cleaners and other service providers as required.</li>
  <li>Support and assist FS with departmental administration including but not limited to, credit card and petty cash reconciliation.</li>
  <li>Report all incidents, accidents and significant near misses.</li>
  <li>Develop and maintain great working relationships with key stakeholders.</li>
  <li>Act as a Fire Warden. .</li>
 </ul>
 <div></div>
 <div>
  About You
 </div>
 <ul>
  <li>Previous experience as a receptionist in a fast paced, demanding corporate environment</li>
  <li>Excellent administration skills</li>
  <li>proficient in MS Office</li>
  <li>Personable with excellent communication skills</li>
  <li>Ability to multi-task</li>
  <li>Strong attention to detail</li>
  <li>Ability to meet deadlines</li>
 </ul>
 <div></div>
 <ul>
  <li>Flexibility in approach to work</li>
 </ul>
 <div></div>
 <div>
  Division:
 </div> Corporate
</div>",https://uk.indeed.com/rc/clk?jk=c611ed59c757e6db&bb=LMLalEyjlITsWPUVPwfUbAbVhu7sJTXJ7nBiRAOqJOlQUGlOUH1ZWMSc5eAOSSgUKSos5xc5Htli35TNXQZTz4L5CXx1XEtHQ8bX1v9eZ2kMYROpC593ztkbDLP4-VY0TuwqxfDDk2g%3D&xkcb=SoB567M36IK-9aW2sZ0LbzkdCdPP&fccid=2aa78e445f07196c&vjs=3
Customer Assistant,Lidl,"145 Tottenham Court Road, London W1T 7NE",£13.65 - £14.00 an hour,- Full-time,"Night Shift <br>
<div>
 <div>
  <div>
   <div>
    <p>Summary</p>
   </div>
   <div>
    <p>£13.65 - £14.00 per hour | 30-40 hour contract | 10:00pm – 07:00am shifts | 30-35 days’ holiday (pro rata) | 10% in-store discount | Pension scheme</p>
    <p>Everyone who works at Lidl brings something unique to the table - but we also have a whole lot in common. We’re collaborative, determined and we all pitch in to help each other out.</p>
    <p>Just like you.</p>
    <p>As a Lidl Customer Assistant, you’ll work together as a team to make sure we maintain our high standards day after day, night after night. From taking responsibility for the cleanliness of the store, to making sure it’s well-stocked for our customers. This isn’t just stacking shelves. This is feeding families. You’ll also reap the rewards of your hard work putting a shift in so that the store is ready before the doors even open.</p>
    <p>In return, we’ll give you a competitive salary based on equal opportunity and pay structures, plus an extra £2.00 per hour for work during bank holidays and £3.50 per hour for night shifts, as well as a generous benefits package designed to support your well-being and life outside Lidl.</p>
    <p>We’re proud to be a diverse, secure and fast-growing business, so we'll make sure you have quality training and real opportunities to build your career.</p>
   </div>
  </div>
  <div>
   <div>
    <p>What you'll do</p>
   </div>
   <div>
    <ul>
     <li>Precisely unpack deliveries through the night during the week and weekends</li>
     <li>Make sure all access areas are clear for our drivers</li>
     <li>Keep the store spick and span – both on the shop floor and behind the scenes</li>
     <li>Help organise specific areas for promotions and special offers</li>
     <li>Independently carry out regular freshness checks and make sure our stock is fully rotated</li>
    </ul>
   </div>
  </div>
  <div>
   <div>
    <p>What you'll need</p>
   </div>
   <div>
    <ul>
     <li>Knowledge or experience of working in a fast-paced environment</li>
     <li>Good attention to detail when working quickly</li>
     <li>The ability to react positively to changing priorities</li>
     <li>Self-motivation to work hard and do everything to the best of your ability</li>
     <li>The drive to work hard and contribute to the success of your store</li>
     <li>Ideally, previous experience working night shifts</li>
    </ul>
   </div>
  </div>
  <div>
   <div>
    <p>What you'll receive</p>
   </div>
   <div>
    <ul>
     <li>30-35 days' holiday (pro rata)</li>
     <li>10% in-store discount</li>
     <li>Enhanced family leave</li>
     <li>Contributory pension scheme</li>
     <li>Long service awards</li>
     <li>Plus more of the perks you deserve</li>
    </ul>
    <p></p>
    <p><br> You’re Lidl like us. We value diversity, equity, and inclusion, welcoming applicants from all backgrounds. Join us to celebrate individuality and grow in a fair, respectful, and inclusive environment.<br> If you’re ready to get stuck in, want to get more out of your career and make a real difference, find your place at Lidl and apply now.</p>
    <p>Please note your employment is conditional upon the Company's receipt of satisfactory references and if requested by the Company, a satisfactory Disclosure and Barring Service check.</p>
   </div>
  </div>
 </div>
</div>",https://uk.indeed.com/rc/clk?jk=ed7f21aba7eec85c&bb=LMLalEyjlITsWPUVPwfUbKB_8NDQQW58rOGOyFjY7ZmWqqB5f92teZp2v6qC7QuROhE7ERGvB6H__ymhOHu27MmYEHQibKwl7ImmkzpJa4iyOBEem9TeSh4JNgfzEa1-&xkcb=SoDN67M36IK-9aW2sZ0KbzkdCdPP&fccid=14b7c83f2c02772e&vjs=3
