Title,Company,Location,Salary,Type,Description,Link
worker Service Agent,KeolisAmey DLR,Location not found,"57,437 a year",- Full-time,"<p></p>
<div>
 <p><b>DO YOU HAVE A PASSION FOR EXCELLENT CUSTOMER SERVICE UNDERPINNED BY A STRONG SAFETY CULTURE?</b></p>
 <div>
  <div>
   KeolisAmey Docklands (KAD) is an award-winning Light Rail Operator, proud to operate the Docklands Light Railway (DLR), which serves a vibrant community at the heart of the East End of London. We pride ourselves, not just in our outstanding safety and performance records, but in our hunger to deliver an amazing customer experience.
  </div>
  <p></p>
  <p><b><br> We are recruiting for our next intake commencing 2nd December 2024 </b>(Please only apply if you are available to start on this date).</p>
 </div>
 <div></div>
 <div>
  <div>
   <br> About the role:
  </div>
 </div>
 <div>
  <div>
   As a PSA you will play an important role in looking after the wellbeing and comfort of our passengers. Whilst operating the train to schedule in a safe and efficient manner, you will also represent the DLR in every aspect of its operations, taking care of customer needs and delivering exceptional customer experience. You will be required to use conflict management skills to manage incidents including intoxicated, or ill passengers &amp; fare evaders, these can often escalate into volatile situations or potential conflict. You will need to be able to deal with equipment failure, service disruption and potentially major customer accidents and injuries.
  </div>
 </div>
 <p></p>
 <div>
  <div>
   <br> The initial training course will consist of 16 weeks of training, followed by 1 week of shadowing an existing PSA. The initial training will be followed by up to 10 additional training days during the first year of employment. These additional days will form part of the formal Passenger Transport Onboard and Station (PTOS) certification and will give you the opportunity to develop base skills further. During initial training a trainee salary is paid until you are able to fully carry out the role.
  </div>
 </div>
 <p></p>
 <div>
  <div>
   <br> This role is a shift based which includes early, daytime and lates shifts, weekend and bank holiday working. There is flexibility in terms of being able to swap shifts with colleagues, however a mixture of shifts are required to be worked in order to maintain your PSA skills and licences.
  </div>
 </div>
 <p></p>
 <div>
  <p><b><br> Shift Rotations:</b></p>
  <ul>
   <li>PSAs work shifts on a rotation basis, typically 4 days on, 2 days off, including weekends and bank holidays.</li>
   <li>PSA Shift range from 04:30 through to 02:00, the range of shifts are typically</li>
  </ul>
  <p>Early, Early Shifts – 04:30 – 13:00,</p>
  <p>Early shifts - 06:30 – 15:00</p>
  <p>Middle Shifts - 09:00 – 17:00</p>
  <p>Late Shifts - 14:30 – 23:00.</p>
  <p>Late, Late shifts -17:00 – 02:00</p>
 </div>
 <p></p>
 <div>
  <div>
   <br> About you:
  </div>
 </div>
 <div>
  <div>
   If you are the right candidate for us then you will have the ability to:
  </div>
 </div>
 <ul>
  <li>
   <div>
    promote a culture of SAFETY within your day-to-day tasks.
   </div></li>
  <li>
   <div>
    provide proactive and professional CUSTOMER SERVICE, with a keen interest in helping others.
   </div></li>
  <li>
   <div>
    MULTI TASK and PRIORITISE your workload.
   </div></li>
  <li>
   <div>
    be POSITIVE, ADAPTABLE and have high levels of personal RESILENCE to be successful within the role.
   </div></li>
 </ul>
 <p></p>
 <div>
  <div>
   <br> Essential qualifications
  </div>
 </div>
 <ul>
  <li>
   <div>
    <b> GCSE Grade 4-9 (or equivalent) specifically in MATHS and ENGLISH are essential</b>.
   </div></li>
 </ul>
 <div>
  <div>
   Any equivalent qualification must be in MATHS and ENGLISH – for example an equivalent cannot be an A Level, Degree or BTEC unless they are specifically in MATHS and ENGLISH. Please note: You will be required to provide a copy of your qualifications as part of your induction.
  </div>
 </div>
 <p></p>
 <p><b><br> Please do not apply if you have applied for this role within the past 12 months.</b></p>
 <p></p>
 <p><b><br> RECRUITMENT TIMELINE: </b><b>(Please ensure your availability for the following dates).</b></p>
 <p></p>
 <p><b><br> STAGE 1 </b>Application Sifting: 21-27 October</p>
 <p><b> STAGE 2 </b>Online Assessment: 22-28 October</p>
 <p><b> STAGE 3 </b>Onsite Scenario Assessment Days: 29 &amp; 30 October</p>
 <p><b> STAGE 4 </b>Interview Day: 31 October</p>
 <p></p>
 <p><b><br> Benefits</b></p>
 <p>As part of the Transport for London family, we offer our staff a range of competitive benefits including:</p>
 <ul>
  <li>Free travel for you and a nominated partner/family member, living at the same address, across the TfL network</li>
  <li>A 75% discount on National Rail Season Ticket.</li>
  <li>Interest-free season ticket loan.</li>
  <li>Defined contribution pension scheme with up to 10% employer contribution.</li>
 </ul>
 <p>Employee benefits also include perks like discounts and rewards through <b>Perkbox,</b> and convenient access to healthcare services with <b>Doctor Care Anywhere.</b></p>
 <p></p>
 <p><b><br> Equal Opportunities</b></p>
 <p><b><i> KeolisAmey Docklands recognises and actively promotes the benefits of a diverse workforce and is committed to treating all employees with dignity and respect regardless of race, gender, disability, age, sexual orientation, religion or belief. We therefore welcome applications from all sections of the community.</i></b></p>
 <p></p>
 <p><b><br> Closing date: 26th October 2024 (We may close earlier once we reached a sufficient level of applications).</b></p>
</div>",https://uk.indeed.com/rc/clk?jk=a7560dc023897448&bb=6ArJYjpXNib8H6Y1-8SuN4IH1Hy9Rp9ru8VX-FAo28QgjGCBTRhFaJewLbjtODnf005-_wIFXhTBO8D8yxNrlqv7eZaoDxHQiey2qj7oLxgchWDQC4JbhmnjemBItPUZ&xkcb=SoAy67M36b1ZBKWWUB0JbzkdCdPP&fccid=124f180ec7045d22&vjs=3
Customer Assistant,Lidl,"359 Barking Road, London E6 1LA",13.65 - 14.00 an hour,- Part-time,"Night Shift <br>
<div>
 <div>
  <div>
   <div>
    <p>Summary</p>
   </div>
   <div>
    <p>£13.65 - £14.00 per hour | 20-30 hour contract | 10:00pm – 07:00am shifts | 30-35 days’ holiday (pro rata) | 10% in-store discount | Pension scheme</p>
    <p>Everyone who works at Lidl brings something unique to the table - but we also have a whole lot in common. We’re collaborative, determined and we all pitch in to help each other out.</p>
    <p>Just like you.</p>
    <p>As a Lidl Customer Assistant, you’ll work together as a team to make sure we maintain our high standards day after day, night after night. From taking responsibility for the cleanliness of the store, to making sure it’s well-stocked for our customers. This isn’t just stacking shelves. This is feeding families. You’ll also reap the rewards of your hard work putting a shift in so that the store is ready before the doors even open.</p>
    <p>In return, we’ll give you a competitive salary based on equal opportunity and pay structures, plus an extra £2.00 per hour for work during bank holidays and £3.50 per hour for night shifts, as well as a generous benefits package designed to support your well-being and life outside Lidl.</p>
    <p>We’re proud to be a diverse, secure and fast-growing business, so we'll make sure you have quality training and real opportunities to build your career.</p>
   </div>
  </div>
  <div>
   <div>
    <p>What you'll do</p>
   </div>
   <div>
    <ul>
     <li>Precisely unpack deliveries through the night during the week and weekends</li>
     <li>Make sure all access areas are clear for our drivers</li>
     <li>Keep the store spick and span – both on the shop floor and behind the scenes</li>
     <li>Help organise specific areas for promotions and special offers</li>
     <li>Independently carry out regular freshness checks and make sure our stock is fully rotated</li>
    </ul>
   </div>
  </div>
  <div>
   <div>
    <p>What you'll need</p>
   </div>
   <div>
    <ul>
     <li>Knowledge or experience of working in a fast-paced environment</li>
     <li>Good attention to detail when working quickly</li>
     <li>The ability to react positively to changing priorities</li>
     <li>Self-motivation to work hard and do everything to the best of your ability</li>
     <li>The drive to work hard and contribute to the success of your store</li>
     <li>Ideally, previous experience working night shifts</li>
    </ul>
   </div>
  </div>
  <div>
   <div>
    <p>What you'll receive</p>
   </div>
   <div>
    <ul>
     <li>30-35 days' holiday (pro rata)</li>
     <li>10% in-store discount</li>
     <li>Enhanced family leave</li>
     <li>Contributory pension scheme</li>
     <li>Long service awards</li>
     <li>Plus more of the perks you deserve</li>
    </ul>
    <p></p>
    <p><br> You’re Lidl like us. We value diversity, equity, and inclusion, welcoming applicants from all backgrounds. Join us to celebrate individuality and grow in a fair, respectful, and inclusive environment.<br> If you’re ready to get stuck in, want to get more out of your career and make a real difference, find your place at Lidl and apply now.</p>
    <p>Please note your employment is conditional upon the Company's receipt of satisfactory references and if requested by the Company, a satisfactory Disclosure and Barring Service check.</p>
   </div>
  </div>
 </div>
</div>",https://uk.indeed.com/rc/clk?jk=696108a42b77110d&bb=6ArJYjpXNib8H6Y1-8SuN0HnUQ98L5_gsiXT1qESlYhKDWcogEbfOViG-xz44NbFf6wrxGWAIkG2I_F5yi6Xq7jH2-tgGjavShgfHq0NML7kqs8uRR8WyT4hEMrLXPFY&xkcb=SoCG67M36b1ZBKWWUB0IbzkdCdPP&fccid=14b7c83f2c02772e&vjs=3
Warehouse Assistant - Part Time (3 days a week),Outsourced Events Ltd,"1 Lyric Square, London W6 0NB",N/A,N/A,"<div>
 <h4 class=""jobSectionHeader""><b>Your mission</b></h4>
 <p><b> The Company</b><br> Founded in 2001 and based in Hammersmith, Outsourced Events Ltd is a multi-award winning end-to-end event management provider. Specialising within the IT and professional services industries, as well as the Association and not-for-profit sectors. The team work globally, across more than 50 clients and run upwards of 250 events a year. Our projects focus on conferences, exhibitions and roadshows targeting decision makers within large organisations or membership bodies.</p>
 <h4 class=""jobSectionHeader""><b> Your profile</b></h4>
 <p></p>
 <h4 class=""jobSectionHeader""><b> The Team</b></h4> Playing an important project role in an organisation, with is growing and expanding. You will join a growing team of 41, all of whom have a wealth of experience and knowledge in event management.<br> The team takes great pride in delivering the highest quality of service to all clients and these relationships are absolutely key to the ongoing growth of Outsourced Events. There is a great atmosphere of collaboration, respect, trust and integrity amongst our team.<br> <br> <b>The Role</b><br> <b>Key responsibilities:</b><br> <br> To assist the Warehouse Manager and Warehouse Operative as directed, particularly in the following areas. Please note that the warehouse is located separately to the main office and a large part of the day will be spent there.
 <ul>
  <li>Liaise with colleagues, suppliers and transport companies</li>
  <li>Support in co-ordinating and monitoring the receipt, order, storage and dispatch of goods</li>
  <li>Ensure the dispatch of goods to arrive ahead of schedule and allowing for any Customs clearance</li>
  <li>Respond to, and deal with, colleague communication by email and telephone</li>
  <li>Keep stock control systems up to date and make sure inventories are accurate</li>
  <li>Produce regular reports and statistics on a daily, weekly and monthly basis as directed by the Warehouse Manager</li>
  <li>Together with the Warehouse Manager and Warehouse Operative, brief Operations Director on a regular basis</li>
  <li>Maintain standards of health and safety, hygiene and security in the warehouse</li>
 </ul><b><i> Key qualities required:</i></b>
 <ul>
  <li>Excellent command of oral and written English</li>
  <li>Excellent attention to detail</li>
  <li>Numeracy and analytical ability</li>
  <li>Time management, planning and organising skills</li>
  <li>Ability to take responsibility for ensuring deadlines are met</li>
  <li>Hard working and dedicated team player</li>
  <li>Initiative and decisiveness</li>
  <li>Ability to work without heavy supervision</li>
  <li>Enthusiasm</li>
  <li>Technical and IT skills, particularly when it comes to database management and spreadsheets</li>
  <li>Problem-solving skills</li>
  <li>Ability to work under pressure and to tight deadlines</li>
  <li>Knowledge of relevant Health &amp; Safety / Manual Handling regulations</li>
  <li>The desire to learn new skills and really take ownership of the role that you are fulfilling</li>
 </ul>
 <p></p>
 <h4 class=""jobSectionHeader""><b> Why us?</b></h4>
 <p><b> Outsourced Events’ Benefits</b></p><br>
 <ul>
  <li>Team activities including residential 2-day company meet up, summer BBQ, monthly all-team meet-ups, organised social activities</li>
  <li>Working with our Head of Learning &amp; Development to enhance your skills and find opportunities for career progression and promotion</li>
  <li>25 days annual leave including three days for the week-long office closure at Christmas</li>
  <li>Birthday day off</li>
  <li>Pension and bonus scheme</li>
  <li>Complimentary access to office gym</li>
  <li>Enhanced maternity / paternity packages available</li>
 </ul>
 <p></p>
 <h4 class=""jobSectionHeader""><b> About us</b></h4>
 <p>Outsourced Events is a multi-award-winning event management company. We live and breathe events and our enthusiastic and friendly team of event professionals have decades of industry experience, organising events in the technology, commercial, and association sectors, but we will help you whatever the industry.</p>
</div>",https://uk.indeed.com/rc/clk?jk=0e3e3f37e5208fbe&bb=6ArJYjpXNib8H6Y1-8SuN-Z3IzRJOlZR9FXCsp7OD3alpJtSxXoWvOpMoJfqKUJJwCdOkfIM_dSSA9lJi9LFVSZ9kGh4-RF4tVgiqdWSkac7f6OHmNOzNwFtIGKbRTf4&xkcb=SoAI67M36b1ZBKWWUB0PbzkdCdPP&fccid=78c27f071cc99805&vjs=3
Warehouse Operative,Angard Staffing (Royal Mail),Location not found,11.44 - 17.44 an hour,- Zero hours contract,"<p><b>PFW – Warehouse Operative</b></p>
<p><b>Join the team!</b></p>
<p><b>We need dedicated and motivated individuals to work with us this Christmas to make sure all the packages get to everyone in time for the big day!</b></p>
<p><b>Day-to-day of the role:</b></p>
<p>As a Parcel Warehouse Operative, you’ll be unloading and loading parcels from trailers, moving them through our warehouses and ensuring that they arrive at their destination safely, and also, you’ll be working with a mechanised Parcel Sorting machine. During a single shift, you could sort 40,000 items with your team! It’s a very important role so flexibility, commitment and enthusiasm are key.</p>
<p>We’re looking for dedicated and motivated individuals to join our team, we have lots of different shifts and times available so you can find the right shift for you. You don’t need to have worked for us before (we love new people!), but experience in warehouse or sorting work is a plus. If you’ve worked for Amazon or another distribution company (such as DPD, DHL or XPO), then you’re on our wish list too!</p>
<p><b>Our wish list</b></p>
<p>You’re flexible and happy to switch between various tasks during a shift</p>
<p>You’re able to carry parcels up to 30kgs, and push up 250kg, assistance will be provided with larger items.</p>
<p>however we must outline that you will need to be physically able to manage these heavy goods.</p>
<p><b>Additional Information</b></p>
<p>Pay rates up until 28th of October</p>
<p>£11.44 p/h</p>
<p>Peak Pay Rates (28th October 2024 to 12th January 2025 only)</p>
<p>Early shift (between 6am – 2pm) – £14.88 p/h</p>
<p>Late Shift (between 2pm – 10pm) – £16.23 p/h</p>
<p>Night Shift (between 10pm – 6am) – £17.44 p/h</p>
<p><i>There may also be an uplift in pay for overtime (Over 40 hours) &amp; Bank Holidays</i></p>
<p><b>Interested?</b></p>
<p>We can’t wait to hear from you.</p>
<p>Pay: £11.44-£17.44 per hour</p>
<p>Expected hours: 1 – 40 per week</p>
<p>Work Location: In person</p>
<p>Reference ID: https://emea3.recruitmentplatform.com/apply-app/pages/application-form?jobId=P2CFK026203F3VBQB688MF6PF-316792<br>Expected start date: 03/10/2024</p>",https://uk.indeed.com/rc/clk?jk=da700da3d4627580&bb=6ArJYjpXNib8H6Y1-8SuN0yuFH0P1InjsEnNfa79a422SKQPJLshabzsE48OeUfP7DLdDi6agj-UETrgbEhz1Wj3I70_yniWOSc7ulm7G-HYuhoR2xr3qUWfVjCZax07&xkcb=SoC867M36b1ZBKWWUB0ObzkdCdPP&fccid=0e5bc4002076c688&cmp=ANGARD-STAFFING&ti=Warehouse+Worker&vjs=3
"Retail Assistant, London",Tate Museum,Location not found,13.15 an hour,"- Part-time, Full-time","<div></div>
<div>
 <div>
  <p>Reference:TC0122</p>
  <p>Opportunity type:Fixed-term, Full-time and Part-time</p>
  <p>Working hours:35, 28 and 21 hours per week</p>
  <p>Salary:£13.15 per hour, plus great benefits!</p>
  <p>Location:London</p>
  <p>Closing date:27 October 2024 at midnight</p>
 </div>
 <div></div>
 <div>
  <ul>
  </ul>
 </div>
 <div>
  Are you looking for a new challenge in a role where you can combine your love of customer service with your enthusiasm for art? Would you like to join a team that puts its people first? If the answer is ‘yes!’, we can’t wait to hear from you.<br> <br> We are recruiting for Retail Assistants to work three, four days or five days a week until 1st June, 2025.<br> <br> <i>Please note that if we do not receive a CV alongside your answers to the shortlisting questions we will not be able to consider your application. In the event that we receive a high volume of applications, the vacancy will close ahead of the end date shown.</i><br> <i> </i><br> <i>We are not able to sponsor visas and if you are in possession of a current visa, please give details in your application.</i><br> <br> Responsibilities of the role:<br>
  <ul>
   <li>Working as part of a team to deliver a world-class shopping experience. You understand everything that goes into creating a magical experience on the shop floor – including replenishment, cash handling, housekeeping and teamwork.</li>
   <li>Providing exceptional customer experience by building rapport, engaging with our customers and responding to their needs.</li>
   <li>Stock management including unloading and unpacking deliveries of new and replenished stock, maintaining displays and carrying out stock counts.</li>
   <li>Processing transactions from pocket money items to limited edition prints.</li>
   <li>A proactive and flexible approach, in an everchanging environment you know the key to success is adaptability and a positive outlook.</li>
  </ul><br> Our ideal candidate:<br>
  <ul>
   <li>You have excellent communication and collaboration skills and you excel when working as part of a team</li>
   <li>You are passionate about providing an exceptional customer experience, you can engage with a diverse audience and use your initiative to deliver results</li>
   <li>You are curious. You will find time to learn about our products, visitors and processes – using your knowledge to support your team and engage customers.</li>
   <li>You want to work in a shop that looks it’s best and you will take pride in maintaining high retail standards</li>
   <li>You have experience of working on a till and can confidently and accurately handle money</li>
   <li>You are flexible and happy to adapt to changes and help out where needed</li>
   <li>You share our commitment to creating a diverse and inclusive space for visitors and colleagues</li>
   <li>You demonstrate our values and are open, bold, rigorous and kind</li>
  </ul><br> About the Role:<br>
  <ul>
   <li>You must be able to work every weekend and some additional weekdays that may vary</li>
   <li>We have a variety of vacancies available at Tate Modern and Tate Britain, both fixed-term and permanent.</li>
   <li>The role involves working delivery shifts that includes unloading, moving and unpacking stock</li>
   <li>You will be expected to work occasional evening and early morning events</li>
  </ul><br> <br> <br> Who we are:
  <p></p>
  <ul>
   <li>Tate Commerce is part of Tate Enterprises Ltd. the trading arm of Tate. We operate retail activity across Tate’s four sites, encompassing publishing, product development, image library and licencing</li>
   <li>We strive to ensure our opportunities are open to all – you can read more about our commitment to Diversity and Inclusion <b>here</b></li>
   <li>We offer great range of benefits including:</li>
   <ul>
    <li>Access to all our galleries and exhibitions, including staff previews</li>
    <li>Generous discounts in our shops and restaurants</li>
    <li>Access to a wide range of training</li>
    <li>Long service awards</li>
    <li>Employee Assistance Program</li>
    <li>Tate Benefits employee discount scheme</li>
    <li>Cycle to Work scheme</li>
   </ul>
  </ul> <br> As a member of the Disability Confident Scheme, we interview all disabled applicants who meet the essential criteria for a job vacancy.<br> <br> <i>Our jobs are like our galleries, open to all. </i>
  <p><i>Tate Commerce is a wholly owned subsidiary of Tate and covenants all profits to support Tate’s work and collection.</i></p>
 </div>
</div>
<div></div>",https://uk.indeed.com/rc/clk?jk=56d9671115f8c20a&bb=6ArJYjpXNib8H6Y1-8SuN7bD6ykAFdXgJg7TEtg6NlswcG6ybbGyTXXhaNW_72IL4xHmOitUEfoIAb0wXig4MOzcsjD3Br1wKZAbqvkec34t6xEyf-zgPRfW175mgnap&xkcb=SoAh67M36b1ZBKWWUB0NbzkdCdPP&fccid=1e15b5277b1b9914&vjs=3
Mail Sorter,ANGARD STAFFING,Location not found,14.88 - 17.44 an hour,- Temporary,"<p>Are you a detail-oriented? Do you thrive in a high-energy, fast-paced environment? If so, Royal Mail wants you to join our team as a flexible (temporary) Mail Sorter!</p>
<p>What’s in Store for You:</p>
<p>A bustling workplace where your speed and precision make an impact.</p>
<p>The satisfaction of being a key player in a process that connects millions.</p>
<p>A supportive team that values your contribution and hard work.</p>
<p>We’re Looking For:</p>
<p>Previous experience in a warehouse, distribution or sorting role – a definite plus! Though if you’ve not got this experience but think you’d be a great fit – we’d still love to hear from you.</p>
<p>Eagle-eyed attention to detail – because every letter and parcel matters.</p>
<p>Physical fitness – you’ll be on the move and on your feet, sorting mail that keeps the nation connected.</p>
<p>Flexibility – with shifts around the clock, we need team players ready at any hour.</p>
<p>Your Mission: As a Mail Sorter, you’ll be at the heart of our operations, ensuring that every piece of mail is meticulously sorted and dispatched. Your role is crucial in maintaining the flow of communication and parcels across the country.</p>
<p>This isn’t just any job; it’s a role that demands excellence and offers the reward of knowing you’re a part of something bigger. If you’re ready to step up and show us your sorting prowess, we’re ready to welcome you.</p>
<p>Join Us Now! Step into a role that keeps you active and engaged. Apply today and become a pivotal part of the Royal Mail family, where every sort counts.</p>
<p>This role involves physical activity and requires working in different shifts as part of our 24-hour operation.</p>
<p>Job Type: Temporary</p>
<p>Pay: £14.88-£17.44 per hour</p>
<p>Schedule:</p>
<ul>
 <li>Day shift</li>
 <li>Night shift</li>
 <li>Weekend availability</li>
 <li>Weekends only</li>
</ul>
<p>Work Location: In person</p>
<p>Reference ID: ANG00994</p>",https://uk.indeed.com/rc/clk?jk=91335f84251fe2c1&bb=6ArJYjpXNib8H6Y1-8SuNy9nEq6A7I4dqp_rIWvkVAaXe4-SkiL_jUhs5L31DPgyz2adoH4Q-gZV-VQhL7Xyy6nfpsYu9nv4g8j0xYawagb53wLLRvaM_ih55fptXJuB&xkcb=SoCV67M36b1ZBKWWUB0MbzkdCdPP&fccid=0e5bc4002076c688&cmp=ANGARD-STAFFING&ti=Mail+Sorter&vjs=3
Human Resources Officer – Part Time,Park Plaza,Location not found,N/A,N/A,"<div>
 <div>
  <div>
   <b>Department:</b> Human Resources
  </div>
  <div>
   <b> Job Level: </b>Team Leader
  </div>
  <div>
   <b> Job Type: </b>Part Time
  </div>
  <div>
   <b> Job Reference: </b>REQ12185
  </div>
  <div>
   <b> Date Posted: </b>22 October
  </div>
 </div><br>
 <p><b> Part Time Human Resources Officer - Park Plaza Park Royal</b></p>
 <p>We are now on the lookout for a part time Human Resources Officer to join our team at Park Plaza Park Royal.</p>
 <p>As our part time Human Resources Officer, you will support the hotel’s operating goals by maximising team member productivity and well-being; and achieve the hotel’s guest service objectives. You'll also handle HR administration, abiding by policies and procedures. This is a positive, open, and results-orientated working climate.</p>
 <p>Renowned for creating memorable moments, Park Plaza park Royal caters to both leisure and business travellers with stylish guest rooms and versatile meeting facilities.</p>
 <p><b> We are looking for a HR Officer who will:</b></p>
 <ul>
  <li>Assist and guide team members on an ad-hoc basis</li>
  <li>Assist with Hotel 90 Day Plan, ensuring agreed targets and projects are met within the agreed timescales</li>
  <li>Complete weekly HOD report</li>
  <li>Support other hotel business areas when their HR Contact is out of the office, ensuring issues are resolved appropriately and in a timely manner with feedback given to the main contact.</li>
  <li>Support the Heads of Departments to actively recruit, screen and follow Company Procedures to attract qualified candidates for vacancies</li>
  <li>Pro-actively promote the PPHE Hotel Blueprint throughout the hotel, ensuring all activities contribute to achieving the desired working climate</li>
  <li>Support the HODs in conducting investigation meetings and disciplinary hearings and ensures any correspondence is completed and issued within departmental deadlines</li>
  <li>Work closely with Payroll and the HR Support Centre to ensure payroll paperwork is accurate and submitted in advance of deadlines.</li>
  <li>Ensure compliance with hotel Human Resources guidelines, policies, and procedures, as well as employment law, rules, and regulations</li>
  <li>Be flexible in dealing with multiple HR Administration tasks as given to you by your line Manager</li>
  <li>Share our values: Trust, Respect, Teamwork, Enthusiasm, Commitment, Care</li>
 </ul>
 <p><b> Benefits of working with us as our HR Officer:</b></p>
 <ul>
  <li>Discounted PPHE hotel rates (extends to the Radisson Hotel Group and family &amp; friends)</li>
  <li>F&amp;B discounts at our restaurants and bars (for your whole party)</li>
  <li>2 wellness days per year, meaning you start with 30 days of holiday per year (pro rata) including bank holidays, increasing with years of service</li>
  <li>Two free meals per day</li>
  <li>Access to 40% of your pay before payday through Wagestream</li>
  <li>Recommend a friend scheme – up to £750!</li>
  <li>Vitality at work scheme with great gym discounts &amp; more</li>
  <li>Ride to Work scheme &amp; free cycling lessons</li>
  <li>24/7 employee assistance programme</li>
  <li>Benefit Hub – Discounted prices at hundreds of stores, supermarkets, major retailers, attractions, restaurants, and cinemas.</li>
  <li>Free dry cleaning for work uniform</li>
  <li>Annual Staff parties and events</li>
  <li>Company pension plan &amp; award-winning training</li>
 </ul>
 <p><b> If this exciting role sounds like the one for you, apply now!</b></p>
</div>",https://uk.indeed.com/rc/clk?jk=2acb97947443a90d&bb=6ArJYjpXNib8H6Y1-8SuNxFJlaLIKY73eCR3loEDyWFen05EaAtsdxO0ApWAHdhOREGD9H6LAZv6GUX7S2TQeBDe3qvFqWYVgSmHRenvLFtMhN-D_jCBedN46n7ie5fB&xkcb=SoB867M36b1ZBKWWUB0DbzkdCdPP&fccid=56d1597b58af3d79&vjs=3
Law Summer Internship - July 2025 intake,Ernst & Young,Location not found,N/A,N/A,"<div>
 <h5 class=""jobSectionHeader""><b>Deliver business solutions to local and global clients whilst developing skills for an exciting career in Law.</b></h5><br> <b> Programme overview</b><br> <br> With over 4,500 legal professionals and a huge growth ambition in both the UK and globally, our Legal business works both independently, delivering legal advice direct to its clients, and seamlessly with other EY professionals - including Strategy Consultants, Technologists, Tax Advisors and Corporate Financiers. Delivering complete business solutions to clients, helping to build trust and confidence in worldwide economies and industries.<br> <br> In our Law team, you'll have the opportunity to work with leading professionals enabling change and helping to shape our legal business. You'll learn new skills and your proactive, enthusiastic and entrepreneurial outlook will be nurtured in our people-focused culture. EY Law is at the forefront of technology and legal innovations, benefiting the business, our clients and our people.<br> <br> <b>What you will be doing</b><br>
 <ul>
  <li>Assisting our lawyers with exciting high-profile work.</li>
  <li>Meeting and interacting with clients and other EY teams.</li>
  <li>Working on business development, marketing and pitches.</li>
  <li>Experiencing a broad range of legal specialisms.</li>
 </ul>
 <p><br> Key programme facts</p>
 <ul>
  <li>Programme length<br> Two weeks. Please note: Due to UK policies, you must be based in the UK for the entire duration of the programme.</li>
 </ul>
 <ul>
  <li>Professional qualification<br> Skills and training for the future</li>
  <li>Salary<br> Competitive</li>
  <li>Start date<br> July 2025</li>
 </ul>
</div>",https://uk.indeed.com/rc/clk?jk=bcd4c95046469c83&bb=6ArJYjpXNib8H6Y1-8SuNxbk1RuDbUzVNrJL7NCPGV3_FHWtClFfLPW6kR2SeZQyQJP5x6D-z8_aZzbMuqju0y9kDvVLGKY_WL2mH3xv-Qia8789S_dFRr-_11qHZMgX&xkcb=SoDI67M36b1ZBKWWUB0CbzkdCdPP&fccid=1544766d4c2915b0&vjs=3
