Title,Company,Location,Salary,Type,Description,Link
Passenger Service Agent,KeolisAmey DLR,Location not found,"£57,437 a year",- Full-time,"<p></p>
<div>
 <p><b>DO YOU HAVE A PASSION FOR EXCELLENT CUSTOMER SERVICE UNDERPINNED BY A STRONG SAFETY CULTURE?</b></p>
 <div>
  <div>
   KeolisAmey Docklands (KAD) is an award-winning Light Rail Operator, proud to operate the Docklands Light Railway (DLR), which serves a vibrant community at the heart of the East End of London. We pride ourselves, not just in our outstanding safety and performance records, but in our hunger to deliver an amazing customer experience.
  </div>
  <p></p>
  <p><b><br> We are recruiting for our next intake commencing 2nd December 2024 </b>(Please only apply if you are available to start on this date).</p>
 </div>
 <div></div>
 <div>
  <div>
   <br> About the role:
  </div>
 </div>
 <div>
  <div>
   As a PSA you will play an important role in looking after the wellbeing and comfort of our passengers. Whilst operating the train to schedule in a safe and efficient manner, you will also represent the DLR in every aspect of its operations, taking care of customer needs and delivering exceptional customer experience. You will be required to use conflict management skills to manage incidents including intoxicated, or ill passengers &amp; fare evaders, these can often escalate into volatile situations or potential conflict. You will need to be able to deal with equipment failure, service disruption and potentially major customer accidents and injuries.
  </div>
 </div>
 <p></p>
 <div>
  <div>
   <br> The initial training course will consist of 16 weeks of training, followed by 1 week of shadowing an existing PSA. The initial training will be followed by up to 10 additional training days during the first year of employment. These additional days will form part of the formal Passenger Transport Onboard and Station (PTOS) certification and will give you the opportunity to develop base skills further. During initial training a trainee salary is paid until you are able to fully carry out the role.
  </div>
 </div>
 <p></p>
 <div>
  <div>
   <br> This role is a shift based which includes early, daytime and lates shifts, weekend and bank holiday working. There is flexibility in terms of being able to swap shifts with colleagues, however a mixture of shifts are required to be worked in order to maintain your PSA skills and licences.
  </div>
 </div>
 <p></p>
 <div>
  <p><b><br> Shift Rotations:</b></p>
  <ul>
   <li>PSAs work shifts on a rotation basis, typically 4 days on, 2 days off, including weekends and bank holidays.</li>
   <li>PSA Shift range from 04:30 through to 02:00, the range of shifts are typically</li>
  </ul>
  <p>Early, Early Shifts – 04:30 – 13:00,</p>
  <p>Early shifts - 06:30 – 15:00</p>
  <p>Middle Shifts - 09:00 – 17:00</p>
  <p>Late Shifts - 14:30 – 23:00.</p>
  <p>Late, Late shifts -17:00 – 02:00</p>
 </div>
 <p></p>
 <div>
  <div>
   <br> About you:
  </div>
 </div>
 <div>
  <div>
   If you are the right candidate for us then you will have the ability to:
  </div>
 </div>
 <ul>
  <li>
   <div>
    promote a culture of SAFETY within your day-to-day tasks.
   </div></li>
  <li>
   <div>
    provide proactive and professional CUSTOMER SERVICE, with a keen interest in helping others.
   </div></li>
  <li>
   <div>
    MULTI TASK and PRIORITISE your workload.
   </div></li>
  <li>
   <div>
    be POSITIVE, ADAPTABLE and have high levels of personal RESILENCE to be successful within the role.
   </div></li>
 </ul>
 <p></p>
 <div>
  <div>
   <br> Essential qualifications
  </div>
 </div>
 <ul>
  <li>
   <div>
    <b> GCSE Grade 4-9 (or equivalent) specifically in MATHS and ENGLISH are essential</b>.
   </div></li>
 </ul>
 <div>
  <div>
   Any equivalent qualification must be in MATHS and ENGLISH – for example an equivalent cannot be an A Level, Degree or BTEC unless they are specifically in MATHS and ENGLISH. Please note: You will be required to provide a copy of your qualifications as part of your induction.
  </div>
 </div>
 <p></p>
 <p><b><br> Please do not apply if you have applied for this role within the past 12 months.</b></p>
 <p></p>
 <p><b><br> RECRUITMENT TIMELINE: </b><b>(Please ensure your availability for the following dates).</b></p>
 <p></p>
 <p><b><br> STAGE 1 </b>Application Sifting: 21-27 October</p>
 <p><b> STAGE 2 </b>Online Assessment: 22-28 October</p>
 <p><b> STAGE 3 </b>Onsite Scenario Assessment Days: 29 &amp; 30 October</p>
 <p><b> STAGE 4 </b>Interview Day: 31 October</p>
 <p></p>
 <p><b><br> Benefits</b></p>
 <p>As part of the Transport for London family, we offer our staff a range of competitive benefits including:</p>
 <ul>
  <li>Free travel for you and a nominated partner/family member, living at the same address, across the TfL network</li>
  <li>A 75% discount on National Rail Season Ticket.</li>
  <li>Interest-free season ticket loan.</li>
  <li>Defined contribution pension scheme with up to 10% employer contribution.</li>
 </ul>
 <p>Employee benefits also include perks like discounts and rewards through <b>Perkbox,</b> and convenient access to healthcare services with <b>Doctor Care Anywhere.</b></p>
 <p></p>
 <p><b><br> Equal Opportunities</b></p>
 <p><b><i> KeolisAmey Docklands recognises and actively promotes the benefits of a diverse workforce and is committed to treating all employees with dignity and respect regardless of race, gender, disability, age, sexual orientation, religion or belief. We therefore welcome applications from all sections of the community.</i></b></p>
 <p></p>
 <p><b><br> Closing date: 26th October 2024 (We may close earlier once we reached a sufficient level of applications).</b></p>
</div>",https://uk.indeed.com/rc/clk?jk=a7560dc023897448&bb=VVRRqpV-jdbcBUTylPZBj4BNm4Jx019zyPklu3O0EO7Mb089hS1YEEmRdDcB3ORRe08epyvhIUtdgiyRdHVKEpfJ4duDMi6w0XTTkymLiaiPkWwQzvVDc-iRvtJoXVH3&xkcb=SoCt67M36bxXCTxutx0LbzkdCdPP&fccid=124f180ec7045d22&vjs=3
Customer Assistant,Lidl,"359 Barking Road, London E6 1LA",£13.65 - £14.00 an hour,- Part-time,"Night Shift <br>
<div>
 <div>
  <div>
   <div>
    <p>Summary</p>
   </div>
   <div>
    <p>£13.65 - £14.00 per hour | 20-30 hour contract | 10:00pm – 07:00am shifts | 30-35 days’ holiday (pro rata) | 10% in-store discount | Pension scheme</p>
    <p>Everyone who works at Lidl brings something unique to the table - but we also have a whole lot in common. We’re collaborative, determined and we all pitch in to help each other out.</p>
    <p>Just like you.</p>
    <p>As a Lidl Customer Assistant, you’ll work together as a team to make sure we maintain our high standards day after day, night after night. From taking responsibility for the cleanliness of the store, to making sure it’s well-stocked for our customers. This isn’t just stacking shelves. This is feeding families. You’ll also reap the rewards of your hard work putting a shift in so that the store is ready before the doors even open.</p>
    <p>In return, we’ll give you a competitive salary based on equal opportunity and pay structures, plus an extra £2.00 per hour for work during bank holidays and £3.50 per hour for night shifts, as well as a generous benefits package designed to support your well-being and life outside Lidl.</p>
    <p>We’re proud to be a diverse, secure and fast-growing business, so we'll make sure you have quality training and real opportunities to build your career.</p>
   </div>
  </div>
  <div>
   <div>
    <p>What you'll do</p>
   </div>
   <div>
    <ul>
     <li>Precisely unpack deliveries through the night during the week and weekends</li>
     <li>Make sure all access areas are clear for our drivers</li>
     <li>Keep the store spick and span – both on the shop floor and behind the scenes</li>
     <li>Help organise specific areas for promotions and special offers</li>
     <li>Independently carry out regular freshness checks and make sure our stock is fully rotated</li>
    </ul>
   </div>
  </div>
  <div>
   <div>
    <p>What you'll need</p>
   </div>
   <div>
    <ul>
     <li>Knowledge or experience of working in a fast-paced environment</li>
     <li>Good attention to detail when working quickly</li>
     <li>The ability to react positively to changing priorities</li>
     <li>Self-motivation to work hard and do everything to the best of your ability</li>
     <li>The drive to work hard and contribute to the success of your store</li>
     <li>Ideally, previous experience working night shifts</li>
    </ul>
   </div>
  </div>
  <div>
   <div>
    <p>What you'll receive</p>
   </div>
   <div>
    <ul>
     <li>30-35 days' holiday (pro rata)</li>
     <li>10% in-store discount</li>
     <li>Enhanced family leave</li>
     <li>Contributory pension scheme</li>
     <li>Long service awards</li>
     <li>Plus more of the perks you deserve</li>
    </ul>
    <p></p>
    <p><br> You’re Lidl like us. We value diversity, equity, and inclusion, welcoming applicants from all backgrounds. Join us to celebrate individuality and grow in a fair, respectful, and inclusive environment.<br> If you’re ready to get stuck in, want to get more out of your career and make a real difference, find your place at Lidl and apply now.</p>
    <p>Please note your employment is conditional upon the Company's receipt of satisfactory references and if requested by the Company, a satisfactory Disclosure and Barring Service check.</p>
   </div>
  </div>
 </div>
</div>",https://uk.indeed.com/rc/clk?jk=696108a42b77110d&bb=VVRRqpV-jdbcBUTylPZBj6oLbYRuraj__ST-5V6vlZnJcHsTf6t5V1I-SsKqrpoxKURYgsCqPJ9LfR8qjQRt8o4OIvzb9_KiqvqUzcWEzm2WfELK_R4MQRPkggxzhuKR&xkcb=SoAZ67M36bxXCTxutx0KbzkdCdPP&fccid=14b7c83f2c02772e&vjs=3
