Title,Company,Location,Salary,Type,Description,Link
Passenger Service Agent,KeolisAmey DLR,Location not found,"£57,437 a year",- Full-time,"<p></p>
<div>
 <p><b>DO YOU HAVE A PASSION FOR EXCELLENT CUSTOMER SERVICE UNDERPINNED BY A STRONG SAFETY CULTURE?</b></p>
 <div>
  <div>
   KeolisAmey Docklands (KAD) is an award-winning Light Rail Operator, proud to operate the Docklands Light Railway (DLR), which serves a vibrant community at the heart of the East End of London. We pride ourselves, not just in our outstanding safety and performance records, but in our hunger to deliver an amazing customer experience.
  </div>
  <p></p>
  <p><b><br> We are recruiting for our next intake commencing 2nd December 2024 </b>(Please only apply if you are available to start on this date).</p>
 </div>
 <div></div>
 <div>
  <div>
   <br> About the role:
  </div>
 </div>
 <div>
  <div>
   As a PSA you will play an important role in looking after the wellbeing and comfort of our passengers. Whilst operating the train to schedule in a safe and efficient manner, you will also represent the DLR in every aspect of its operations, taking care of customer needs and delivering exceptional customer experience. You will be required to use conflict management skills to manage incidents including intoxicated, or ill passengers &amp; fare evaders, these can often escalate into volatile situations or potential conflict. You will need to be able to deal with equipment failure, service disruption and potentially major customer accidents and injuries.
  </div>
 </div>
 <p></p>
 <div>
  <div>
   <br> The initial training course will consist of 16 weeks of training, followed by 1 week of shadowing an existing PSA. The initial training will be followed by up to 10 additional training days during the first year of employment. These additional days will form part of the formal Passenger Transport Onboard and Station (PTOS) certification and will give you the opportunity to develop base skills further. During initial training a trainee salary is paid until you are able to fully carry out the role.
  </div>
 </div>
 <p></p>
 <div>
  <div>
   <br> This role is a shift based which includes early, daytime and lates shifts, weekend and bank holiday working. There is flexibility in terms of being able to swap shifts with colleagues, however a mixture of shifts are required to be worked in order to maintain your PSA skills and licences.
  </div>
 </div>
 <p></p>
 <div>
  <p><b><br> Shift Rotations:</b></p>
  <ul>
   <li>PSAs work shifts on a rotation basis, typically 4 days on, 2 days off, including weekends and bank holidays.</li>
   <li>PSA Shift range from 04:30 through to 02:00, the range of shifts are typically</li>
  </ul>
  <p>Early, Early Shifts – 04:30 – 13:00,</p>
  <p>Early shifts - 06:30 – 15:00</p>
  <p>Middle Shifts - 09:00 – 17:00</p>
  <p>Late Shifts - 14:30 – 23:00.</p>
  <p>Late, Late shifts -17:00 – 02:00</p>
 </div>
 <p></p>
 <div>
  <div>
   <br> About you:
  </div>
 </div>
 <div>
  <div>
   If you are the right candidate for us then you will have the ability to:
  </div>
 </div>
 <ul>
  <li>
   <div>
    promote a culture of SAFETY within your day-to-day tasks.
   </div></li>
  <li>
   <div>
    provide proactive and professional CUSTOMER SERVICE, with a keen interest in helping others.
   </div></li>
  <li>
   <div>
    MULTI TASK and PRIORITISE your workload.
   </div></li>
  <li>
   <div>
    be POSITIVE, ADAPTABLE and have high levels of personal RESILENCE to be successful within the role.
   </div></li>
 </ul>
 <p></p>
 <div>
  <div>
   <br> Essential qualifications
  </div>
 </div>
 <ul>
  <li>
   <div>
    <b> GCSE Grade 4-9 (or equivalent) specifically in MATHS and ENGLISH are essential</b>.
   </div></li>
 </ul>
 <div>
  <div>
   Any equivalent qualification must be in MATHS and ENGLISH – for example an equivalent cannot be an A Level, Degree or BTEC unless they are specifically in MATHS and ENGLISH. Please note: You will be required to provide a copy of your qualifications as part of your induction.
  </div>
 </div>
 <p></p>
 <p><b><br> Please do not apply if you have applied for this role within the past 12 months.</b></p>
 <p></p>
 <p><b><br> RECRUITMENT TIMELINE: </b><b>(Please ensure your availability for the following dates).</b></p>
 <p></p>
 <p><b><br> STAGE 1 </b>Application Sifting: 21-27 October</p>
 <p><b> STAGE 2 </b>Online Assessment: 22-28 October</p>
 <p><b> STAGE 3 </b>Onsite Scenario Assessment Days: 29 &amp; 30 October</p>
 <p><b> STAGE 4 </b>Interview Day: 31 October</p>
 <p></p>
 <p><b><br> Benefits</b></p>
 <p>As part of the Transport for London family, we offer our staff a range of competitive benefits including:</p>
 <ul>
  <li>Free travel for you and a nominated partner/family member, living at the same address, across the TfL network</li>
  <li>A 75% discount on National Rail Season Ticket.</li>
  <li>Interest-free season ticket loan.</li>
  <li>Defined contribution pension scheme with up to 10% employer contribution.</li>
 </ul>
 <p>Employee benefits also include perks like discounts and rewards through <b>Perkbox,</b> and convenient access to healthcare services with <b>Doctor Care Anywhere.</b></p>
 <p></p>
 <p><b><br> Equal Opportunities</b></p>
 <p><b><i> KeolisAmey Docklands recognises and actively promotes the benefits of a diverse workforce and is committed to treating all employees with dignity and respect regardless of race, gender, disability, age, sexual orientation, religion or belief. We therefore welcome applications from all sections of the community.</i></b></p>
 <p></p>
 <p><b><br> Closing date: 26th October 2024 (We may close earlier once we reached a sufficient level of applications).</b></p>
</div>",https://uk.indeed.com/rc/clk?jk=a7560dc023897448&bb=0Hp2MlYbkuxHtENJ8icpnr9S1E1ahE-z3NaJhK49chPAsuCmscLcKRRS95ST8YHg7ljWt_NY3kjGTsy-wo0hLXZvYpfh0SLb4mCFqK7fQfaW0i-4KneIqxh1sCvA9kYk&xkcb=SoA467M36byqoJRuqp0LbzkdCdPP&fccid=124f180ec7045d22&vjs=3
Warehouse Operative,Angard Staffing (Royal Mail),Location not found,£11.44 - £17.44 an hour,- Zero hours contract,"<p><b>PFW – Warehouse Operative</b></p>
<p><b>Join the team!</b></p>
<p><b>We need dedicated and motivated individuals to work with us this Christmas to make sure all the packages get to everyone in time for the big day!</b></p>
<p><b>Day-to-day of the role:</b></p>
<p>As a Parcel Warehouse Operative, you’ll be unloading and loading parcels from trailers, moving them through our warehouses and ensuring that they arrive at their destination safely, and also, you’ll be working with a mechanised Parcel Sorting machine. During a single shift, you could sort 40,000 items with your team! It’s a very important role so flexibility, commitment and enthusiasm are key.</p>
<p>We’re looking for dedicated and motivated individuals to join our team, we have lots of different shifts and times available so you can find the right shift for you. You don’t need to have worked for us before (we love new people!), but experience in warehouse or sorting work is a plus. If you’ve worked for Amazon or another distribution company (such as DPD, DHL or XPO), then you’re on our wish list too!</p>
<p><b>Our wish list</b></p>
<p>You’re flexible and happy to switch between various tasks during a shift</p>
<p>You’re able to carry parcels up to 30kgs, and push up 250kg, assistance will be provided with larger items.</p>
<p>however we must outline that you will need to be physically able to manage these heavy goods.</p>
<p><b>Additional Information</b></p>
<p>Pay rates up until 28th of October</p>
<p>£11.44 p/h</p>
<p>Peak Pay Rates (28th October 2024 to 12th January 2025 only)</p>
<p>Early shift (between 6am – 2pm) – £14.88 p/h</p>
<p>Late Shift (between 2pm – 10pm) – £16.23 p/h</p>
<p>Night Shift (between 10pm – 6am) – £17.44 p/h</p>
<p><i>There may also be an uplift in pay for overtime (Over 40 hours) &amp; Bank Holidays</i></p>
<p><b>Interested?</b></p>
<p>We can’t wait to hear from you.</p>
<p>Pay: £11.44-£17.44 per hour</p>
<p>Expected hours: 1 – 40 per week</p>
<p>Work Location: In person</p>
<p>Reference ID: https://emea3.recruitmentplatform.com/apply-app/pages/application-form?jobId=P2CFK026203F3VBQB688MF6PF-316792<br>Expected start date: 03/10/2024</p>",https://uk.indeed.com/rc/clk?jk=da700da3d4627580&bb=0Hp2MlYbkuxHtENJ8icpnqfVbl4rSSfpqk3ByKE6f5MCEGFhnUx4hHftoqxG0w3kWS9LJc8yIkiVmumXW-LlSxFxip8VIeZAc0Tm4Rp5NjViFzIF-UwsLHZwR7LMwkko&xkcb=SoCM67M36byqoJRuqp0KbzkdCdPP&fccid=0e5bc4002076c688&cmp=ANGARD-STAFFING&ti=Warehouse+Worker&vjs=3
